id,batch_id,arm_id,pi
1625,112,9,0.8728400000000002
1630,112,14,0.9971800000000002
1636,113,4,0.21117999999999998
1641,113,9,0.87346
1646,113,14,0.9973000000000001
1652,114,4,0.20914
1657,114,9,0.87622
1662,114,14,0.9973099999999999
1665,115,1,0.01457
1670,115,6,0.36282000000000003
1675,115,11,0.9767599999999999
1680,115,16,0.9999999999999999
1681,116,1,0.01421
1686,116,6,0.35505000000000003
1691,116,11,0.97841
1696,116,16,1.0
1698,117,2,0.01392
1703,117,7,0.88049
1708,117,12,0.9941800000000001
1714,118,2,0.013300000000000001
1719,118,7,0.8846099999999999
1724,118,12,0.9944799999999999
1730,119,2,0.01416
1735,119,7,0.88584
1740,119,12,0.9949999999999999
1745,120,1,0.01322
1750,120,6,0.34628
1755,120,11,0.98013
1760,120,16,1.0
1763,121,3,0.20335
1768,121,8,0.87839
1773,121,13,0.9974500000000001
1781,122,5,0.36619999999999997
1786,122,10,0.8841
1791,122,15,0.9999999999999999
1797,123,5,0.36489000000000005
1802,123,10,0.87673
1807,123,15,0.99999
1810,124,2,0.01394
1815,124,7,0.87536
1820,124,12,0.99432
1826,125,2,0.012620000000000001
1831,125,7,0.8786100000000001
1836,125,12,0.9949800000000001
1842,126,2,0.01315
1847,126,7,0.88205
1852,126,12,0.9952099999999999
1858,127,2,0.01255
1863,127,7,0.88218
1868,127,12,0.9952399999999999
1875,128,3,0.20996
1880,128,8,0.8854400000000001
1885,128,13,0.99789
2437,163,5,0.3409
2442,163,10,0.8824000000000002
2447,163,15,0.9999800000000002
2453,164,5,0.33272
2458,164,10,0.8856700000000001
2463,164,15,0.9999700000000001
2465,165,1,0.01408
2470,165,6,0.32641000000000003
2475,165,11,0.9770700000000001
2480,165,16,1.0000000000000002
2483,166,3,0.19156
2488,166,8,0.88692
2493,166,13,0.99773
2499,167,3,0.18656
2504,167,8,0.88903
2509,167,13,0.9979899999999999
2517,168,5,0.33227
2522,168,10,0.8938300000000001
2527,168,15,1.0
2529,169,1,0.01275
2534,169,6,0.32894999999999996
2539,169,11,0.9789699999999999
2544,169,16,0.9999999999999999
2545,170,1,0.01455
2550,170,6,0.35453
2555,170,11,0.9764299999999999
2560,170,16,0.9999999999999999
2561,171,1,0.01403
2566,171,6,0.3651
2571,171,11,0.9772
2576,171,16,1.0
2577,172,1,0.01376
2582,172,6,0.35596
2587,172,11,0.9781
2592,172,16,1.0
2593,173,1,0.01366
2598,173,6,0.34759999999999996
2603,173,11,0.97803
2608,173,16,1.0
2609,174,1,0.01251
160,10,16,1.0000000000000002
161,11,1,0.006805
165,11,5,0.15471700000000002
169,11,9,0.8643500000000002
173,11,13,0.9988830000000001
180,12,4,0.09835999999999999
184,12,8,0.842059
188,12,12,0.996941
192,12,16,1.0
196,13,4,0.11337199999999999
