id,PreScreen_Q1,Commitment_Q1,Commitment_Q2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Manipulation_Q1,QD2,QD2_1_TEXT,QD3_1,QD3_2,QD3_3,QD3_4,QD3_5,QD3_6,QD3_7,QD4,QD5,rnum,pi1,pi2,pi3,pi4,pi5,pi6,pi7,rnum_age,age1,age2,first_name1,first_name2,pol_exp1,pol_exp2,career1,career2
32,Yes,"Yes, I will",purple,,,Candidate 1,,,,,,Candidate 2,Age,28,,,Black or African American,,,,,No,Male,0.5470347501214209,0,0,0,0,0.5,1,1,0.11295570901431044,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
33,Yes,"Yes, I will",purple,,,,,,,Candidate 1,,Candidate 2,Age,36,,,,,White,,,No,Male,0.8401253327820742,0,0,0,0,0.5,1,1,0.20326925725752237,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
34,Yes,"Yes, I will",purple,,Candidate 2,,,,,,,Candidate 1,Age,63,,,,,White,,,No,Female,0.2305552596763138,0,0,0,0,0.5,1,1,0.8681626594318456,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
35,Yes,"Yes, I will",purple,,Candidate 2,,,,,,,Candidate 1,Age,24,,,,,White,,,No,Female,0.14890000250863378,0,0,0,0,0.5,1,1,0.9939530657124596,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
36,Yes,"Yes, I will",Purple,,,,,Candidate 1,,,,Candidate 2,Age,22,,,,,White,,,No,Female,0.978822759813355,0,0,0,0,0.5,1,1,0.35896480976579825,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
37,Yes,"Yes, I will",purple,,,,,Candidate 1,,,,Candidate 2,Age,50,,,,,White,,,No,Female,0.1543457894945391,0,0,0,0,0.5,1,1,0.03481208464009969,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
38,Yes,"Yes, I will",purple,,,,,,,,Candidate 1,Candidate 2,Age,39,,,,,White,,,No,Female,0.21208718354163855,0,0,0,0,0.5,1,1,0.13942721815300807,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
39,Yes,"Yes, I will",purple,,,,,Candidate 2,,,,Candidate 1,Age,21,,,,,White,,,No,Female,0.6130005737331231,0,0,0,0,0.5,1,1,0.7212116275264908,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
40,Yes,"Yes, I will",purple,,,,,Candidate 1,,,,Candidate 1,Age,33,,,,,White,,,No,Female,0.5392961102862135,0,0,0,0,0.5,1,1,0.9191198784204012,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
41,Yes,"Yes, I will",purple,,,,Candidate 1,,,,,Candidate 2,Age,33,,,,,White,,,No,Female,0.27685240755715695,0,0,0,0,0.5,1,1,0.09084357300094412,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
42,Yes,"Yes, I will",purple,,,,,,Candidate 1,,,Candidate 2,Age,20,,,,,White,,,No,Male,0.2510335555418938,0,0,0,0,0.5,1,1,0.251800616796082,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
43,Yes,"Yes, I will",purple,,,Candidate 2,,,,,,Candidate 1,Age,47,,,,,White,,,No,Male,0.12315394592544854,0,0,0,0,0.5,1,1,0.6250734039640691,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
44,Yes,"Yes, I will",purple,,,Candidate 1,,,,,,Candidate 2,Age,29,,,Black or African American,,,,,No,Female,0.2846996598608558,0,0,0,0,0.5,1,1,0.4304366217531349,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
45,Yes,"Yes, I will",purple,,,Candidate 1,,,,,,Candidate 2,Age,32,,,,,White,,,No,Male,0.6726581360382629,0,0,0,0,0.5,1,1,0.02500537154846949,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
46,Yes,"Yes, I will",purple,,,,,,,Candidate 2,,Candidate 1,Age,32,,,,,White,,,No,Female,0.5555147131801385,0,0,0,0,0.5,1,1,0.9071630821347152,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
47,Yes,"Yes, I will",purple,,,Candidate 2,,,,,,Candidate 1,Age,58,,,,,White,,,No,Female,0.07161883871807224,0,0,0,0,0.5,1,1,0.375088339525994,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
48,Yes,"Yes, I will",Purple,,,,Candidate 1,,,,,Candidate 1,Age,32,,,,,White,,,No,Female,0.09121311574504085,0,0,0,0,0.5,1,1,0.7783877257673041,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
49,Yes,"Yes, I will",purple,,,Candidate 2,,,,,,Candidate 2,Age,35,,,,,White,,,No,Female,0.898157885274421,0,0,0,0,0.5,1,1,0.38273738612950253,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
50,Yes,"Yes, I will",Purple,,,,,,,Candidate 1,,Candidate 2,Age,27,,,,,White,,,No,Male,0.8099877486960002,0,0,0,0,0.5,1,1,0.09239740415764912,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
