unique_id,context,context_label,batch_id,batch_type,chose_mother,race,age,female,hispanic
159,3,white_low,1,Iterative Batch Phase: Max,0,White,34,FALSE,FALSE
160,3,white_low,1,Iterative Batch Phase: Max,0,White,54,FALSE,FALSE
161,4,white_high,1,Iterative Batch Phase: Max,1,White,44,TRUE,FALSE
162,4,white_high,1,Iterative Batch Phase: Max,0,Asian,40,TRUE,FALSE
163,3,white_low,1,Iterative Batch Phase: Max,0,White,36,FALSE,TRUE
164,1,black_low,1,Iterative Batch Phase: Max,1,White,60,TRUE,FALSE
165,1,black_low,1,Iterative Batch Phase: Max,1,Other,46,FALSE,TRUE
166,3,white_low,1,Iterative Batch Phase: Max,0,Asian,24,FALSE,FALSE
167,3,white_low,1,Iterative Batch Phase: Max,1,White,29,FALSE,FALSE
168,1,black_low,1,Iterative Batch Phase: Max,0,White,44,FALSE,FALSE
169,1,black_low,1,Iterative Batch Phase: Max,1,White,24,TRUE,FALSE
170,1,black_low,1,Iterative Batch Phase: Max,1,Asian,37,FALSE,FALSE
171,3,white_low,1,Iterative Batch Phase: Max,0,White,37,FALSE,FALSE
172,1,black_low,1,Iterative Batch Phase: Max,1,Multiracial,45,TRUE,FALSE
173,3,white_low,1,Iterative Batch Phase: Max,1,White,33,TRUE,FALSE
174,1,black_low,1,Iterative Batch Phase: Max,1,Asian,47,FALSE,FALSE
175,3,white_low,1,Iterative Batch Phase: Max,1,Asian,35,FALSE,FALSE
176,3,white_low,1,Iterative Batch Phase: Max,0,Multiracial,44,TRUE,TRUE
177,3,white_low,1,Iterative Batch Phase: Max,0,White,53,FALSE,FALSE
178,1,black_low,1,Iterative Batch Phase: Max,1,Asian,34,TRUE,FALSE
179,3,white_low,1,Iterative Batch Phase: Max,0,White,34,FALSE,FALSE
180,1,black_low,1,Iterative Batch Phase: Max,1,White,26,FALSE,FALSE
181,3,white_low,1,Iterative Batch Phase: Max,1,White,53,FALSE,FALSE
182,3,white_low,1,Iterative Batch Phase: Max,1,White,49,FALSE,FALSE
183,3,white_low,1,Iterative Batch Phase: Max,1,White,51,TRUE,FALSE
184,3,white_low,1,Iterative Batch Phase: Max,0,Black or African American,38,TRUE,FALSE
185,1,black_low,1,Iterative Batch Phase: Max,0,White,35,FALSE,FALSE
186,3,white_low,1,Iterative Batch Phase: Max,1,White,56,TRUE,FALSE
187,4,white_high,1,Iterative Batch Phase: Max,1,White,60,TRUE,FALSE
188,1,black_low,1,Iterative Batch Phase: Max,0,White,67,TRUE,FALSE
189,1,black_low,1,Iterative Batch Phase: Max,0,White,65,FALSE,FALSE
190,1,black_low,1,Iterative Batch Phase: Max,1,White,52,FALSE,FALSE
191,3,white_low,1,Iterative Batch Phase: Max,1,White,39,FALSE,FALSE
192,3,white_low,1,Iterative Batch Phase: Max,0,White,38,FALSE,FALSE
193,3,white_low,1,Iterative Batch Phase: Max,1,White,32,TRUE,FALSE
194,1,black_low,1,Iterative Batch Phase: Max,0,White,48,FALSE,FALSE
195,3,white_low,1,Iterative Batch Phase: Max,1,White,43,FALSE,FALSE
196,3,white_low,1,Iterative Batch Phase: Max,0,White,22,TRUE,FALSE
197,4,white_high,1,Iterative Batch Phase: Max,1,White,52,TRUE,FALSE
198,4,white_high,1,Iterative Batch Phase: Max,1,Black or African American,28,TRUE,FALSE
199,1,black_low,1,Iterative Batch Phase: Max,1,White,31,TRUE,FALSE
200,3,white_low,1,Iterative Batch Phase: Max,0,Multiracial,36,FALSE,TRUE
201,3,white_low,1,Iterative Batch Phase: Max,0,White,47,TRUE,FALSE
202,2,black_high,1,Iterative Batch Phase: Max,0,White,44,FALSE,FALSE
203,3,white_low,1,Iterative Batch Phase: Max,0,White,70,FALSE,FALSE
204,1,black_low,1,Iterative Batch Phase: Max,0,White,35,FALSE,FALSE
205,3,white_low,1,Iterative Batch Phase: Max,0,Black or African American,51,FALSE,FALSE
206,1,black_low,1,Iterative Batch Phase: Max,0,American Indian or Alaskan Native,33,TRUE,FALSE
207,3,white_low,1,Iterative Batch Phase: Max,1,White,60,TRUE,FALSE
208,1,black_low,1,Iterative Batch Phase: Max,1,White,69,FALSE,FALSE
209,3,white_low,1,Iterative Batch Phase: Max,1,White,46,FALSE,FALSE
210,3,white_low,1,Iterative Batch Phase: Max,1,Black or African American,25,TRUE,FALSE
211,1,black_low,1,Iterative Batch Phase: Max,1,White,41,FALSE,FALSE
212,3,white_low,1,Iterative Batch Phase: Max,1,Multiracial,32,FALSE,FALSE
213,1,black_low,1,Iterative Batch Phase: Max,1,White,46,FALSE,FALSE
214,3,white_low,1,Iterative Batch Phase: Max,0,Black or African American,66,TRUE,FALSE
215,1,black_low,1,Iterative Batch Phase: Max,1,White,60,TRUE,FALSE
216,3,white_low,1,Iterative Batch Phase: Max,0,White,34,TRUE,FALSE
217,3,white_low,1,Iterative Batch Phase: Max,1,White,72,FALSE,FALSE
218,3,white_low,1,Iterative Batch Phase: Max,1,White,32,TRUE,FALSE
219,2,black_high,1,Iterative Batch Phase: Max,1,White,58,FALSE,FALSE
220,3,white_low,1,Iterative Batch Phase: Max,1,White,22,FALSE,FALSE
221,3,white_low,1,Iterative Batch Phase: Max,0,White,26,FALSE,FALSE
222,2,black_high,1,Iterative Batch Phase: Max,0,White,37,FALSE,FALSE
223,1,black_low,1,Iterative Batch Phase: Max,0,White,60,FALSE,FALSE
224,3,white_low,1,Iterative Batch Phase: Max,0,Black or African American,56,TRUE,FALSE
225,3,white_low,1,Iterative Batch Phase: Max,0,White,40,TRUE,FALSE
226,3,white_low,1,Iterative Batch Phase: Max,1,Asian,40,FALSE,FALSE
227,3,white_low,1,Iterative Batch Phase: Max,1,White,67,FALSE,FALSE
228,3,white_low,1,Iterative Batch Phase: Max,0,White,51,TRUE,FALSE
229,4,white_high,1,Iterative Batch Phase: Max,0,White,55,TRUE,FALSE
230,3,white_low,1,Iterative Batch Phase: Max,1,White,34,TRUE,FALSE
231,1,black_low,1,Iterative Batch Phase: Max,0,White,26,TRUE,FALSE
232,1,black_low,1,Iterative Batch Phase: Max,1,White,60,FALSE,FALSE
233,3,white_low,1,Iterative Batch Phase: Max,1,White,43,TRUE,FALSE
234,3,white_low,1,Iterative Batch Phase: Max,0,Asian,38,TRUE,FALSE
235,1,black_low,1,Iterative Batch Phase: Max,1,Black or African American,64,TRUE,FALSE
236,1,black_low,1,Iterative Batch Phase: Max,1,White,45,TRUE,FALSE
237,3,white_low,1,Iterative Batch Phase: Max,0,Black or African American,26,TRUE,TRUE
238,3,white_low,1,Iterative Batch Phase: Max,1,White,65,FALSE,FALSE
239,3,white_low,1,Iterative Batch Phase: Max,1,White,58,FALSE,FALSE
240,1,black_low,1,Iterative Batch Phase: Max,0,Black or African American,46,TRUE,FALSE
241,1,black_low,1,Iterative Batch Phase: Max,0,White,69,TRUE,FALSE
242,4,white_high,1,Iterative Batch Phase: Max,0,Black or African American,50,FALSE,FALSE
243,3,white_low,1,Iterative Batch Phase: Max,1,White,49,FALSE,FALSE
244,1,black_low,1,Iterative Batch Phase: Max,1,White,29,FALSE,FALSE
245,3,white_low,1,Iterative Batch Phase: Max,0,White,35,FALSE,FALSE
246,3,white_low,1,Iterative Batch Phase: Max,1,Black or African American,23,TRUE,FALSE
247,2,black_high,1,Iterative Batch Phase: Max,0,White,54,FALSE,FALSE
248,3,white_low,1,Iterative Batch Phase: Max,0,White,29,TRUE,FALSE
249,3,white_low,1,Iterative Batch Phase: Max,1,White,49,TRUE,FALSE
250,1,black_low,1,Iterative Batch Phase: Max,0,White,38,FALSE,FALSE
251,3,white_low,1,Iterative Batch Phase: Max,0,White,62,TRUE,FALSE
252,3,white_low,1,Iterative Batch Phase: Max,1,White,31,FALSE,FALSE
253,3,white_low,1,Iterative Batch Phase: Max,1,White,45,TRUE,FALSE
